DeployID,Ptt,DepthSensor,Source,Instr,Date,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,MinTemp16,MaxTemp16,%Ox16,Discont16
Larry,141256,0.5,Transmission,MiniPAT,10/13/15 19:00,0,1,,,, ,2,,0,15,15.4,,,16,14.8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,141256,0.5,Transmission,MiniPAT,10/14/15 0:00,0,2,,,, ,4,,0,14.6,15.4,,,8,14.4,15.4,,,24,14.2,14.8,,,48,11.8,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,141256,0.5,Transmission,MiniPAT,10/15/15 0:00,0,1,,,, ,3,,0,15,15.4,,,8,14,15.4,,,32,14.4,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,141256,0.5,Transmission,MiniPAT,10/16/15 0:00,0,2,,,, ,4,,0,14.8,17.2,,,8,14.8,17.2,,,24,14.4,17.2,,,40,17.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,141256,0.5,Transmission,MiniPAT,10/18/15 0:00,0,3,,,, ,8,,0,15.8,17.8,,,8,15.8,17.8,,,24,15.8,17.8,,,40,16,17.4,,,64,9.8,17.2,,,80,12.2,14,,,104,8.8,9,,,120,8.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,141256,0.5,Transmission,MiniPAT,10/20/15 0:00,1,1,,,, ,5,,0,14.2,16.8,,,8,13.6,16.8,,,24,14.4,16.8,,,40,15.4,16.8,,,64,12.2,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,141256,0.5,Transmission,MiniPAT,10/21/15 0:00,1,2,,,, ,5,,0,14.4,16.8,,,8,14.4,16.8,,,24,15.2,16.8,,,40,15.4,15.6,,,56,15.8,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,141256,0.5,Transmission,MiniPAT,10/22/15 0:00,1,2,,,, ,6,,0,14.2,16.2,,,8,14,16.2,,,24,14.2,16.2,,,40,12.4,16.6,,,56,10.2,16.2,,,80,9.6,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,141256,0.5,Transmission,MiniPAT,10/23/15 0:00,1,2,,,, ,5,,0,13.4,17.4,,,8,13.4,17,,,24,14,17.2,,,40,15.2,17,,,56,16.2,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,141256,0.5,Transmission,MiniPAT,10/25/15 0:00,1,2,,,, ,8,,0,18,18.4,,,16,17.6,18.4,,,48,17.4,19.6,,,80,16,17,,,112,15.6,16,,,160,13.6,14,,,200,12.4,12.8,,,216,12.4,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
