DeployID,Ptt,DepthSensor,Source,Instr,Date,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,MinTemp16,MaxTemp16,%Ox16,Discont16
Thomas,141254,,Transmission,MiniPAT,10/21/15 22:00,0,2,,,, ,4,,0,13.2,13.4,,,8,13.2,13.4,,,24,12,13.4,,,48,10.4,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,141254,,Transmission,MiniPAT,10/22/15 0:00,0,1,,,, ,4,,0,13.2,14.2,,,8,13,14.2,,,24,13.2,14,,,48,11.8,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,141254,,Transmission,MiniPAT,10/23/15 0:00,0,4,,,, ,4,,0,14,17.6,,,8,13.4,17.6,,,24,12.4,17.4,,,40,15.6,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,141254,,Transmission,MiniPAT,10/24/15 0:00,0,3,,,, ,4,,0,14.8,16.6,,,8,14.6,16.6,,,24,14.8,16.6,,,48,14.4,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,141254,,Transmission,MiniPAT,10/25/15 0:00,0,2,,,, ,5,,0,15.2,16.6,,,8,14.8,16.6,,,24,15,16.4,,,40,15.2,16.2,,,56,14.6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,141254,,Transmission,MiniPAT,10/26/15 0:00,0,3,,,, ,7,,0,13.8,16.4,,,8,13.8,16.4,,,24,14.4,16,,,40,11.4,15.6,,,56,11.6,15.6,,,72,10.6,11.2,,,88,10,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,141254,,Transmission,MiniPAT,10/27/15 0:00,0,2,,,, ,7,,0,13.2,15.6,,,8,13.2,15.8,,,24,13,15.6,,,40,9.4,15.4,,,56,9,14.4,,,72,8.6,13,,,96,8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,141254,,Transmission,MiniPAT,10/29/15 0:00,0,1,,,, ,5,,0,14.4,17,,,8,14.4,17,,,24,14.4,17.4,,,40,15,17.2,,,64,17.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,141254,,Transmission,MiniPAT,10/30/15 0:00,0,2,,,, ,8,,0,16.6,19.6,,,8,16.6,19.8,,,24,17.4,19.8,,,48,15.8,19.8,,,72,14.4,19.6,,,104,15.2,15.4,,,112,15,15.2,,,136,14.6,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,141254,,Transmission,MiniPAT,10/31/15 0:00,0,7,,,, ,8,,0,19.8,20.6,,,16,19.8,20.6,,,64,18,21.2,,,104,15.2,17,,,152,14.2,15.4,,,232,12,12.6,,,240,11.8,12.4,,,304,10.2,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
